,index,code,time,money,year
1,7077,000002.SZ,2016/1/5,160148519.7,2016
4,2661,000008.SZ,2019/4/30,7145779.52,2019
12,433,000008.SZ,2019/10/9,217695991.5,2019
14,3198,000030.SZ,2019/3/11,9938606.69,2019
23,432,000030.SZ,2019/10/9,321064464.6,2019
25,4158,000034.SZ,2019/1/25,6837911.78,2019
31,4131,000056.SZ,2019/1/30,671900,2019
42,7068,000100.SZ,2016/1/6,69990822.25,2016
62,194,000100.SZ,2019/10/16,1708529800,2019
70,6941,000157.SZ,2017/5/25,53286400,2017
72,6927,000157.SZ,2017/6/30,116234500,2017
74,2208,000157.SZ,2019/5/18,115594328.1,2019
79,1692,000157.SZ,2019/6/29,2029218746,2019
81,4707,000158.SZ,2018/12/27,6757754.18,2018
93,103,000158.SZ,2019/11/2,240005778.1,2019
96,5562,000159.SZ,2018/11/2,421745,2018
100,6339,000333.SZ,2018/7/27,499920391,2018
108,4659,000333.SZ,2019/1/2,3999655845,2019
110,3246,000333.SZ,2019/3/6,48887360.8,2019
118,102,000333.SZ,2019/11/2,3050796240,2019
120,5854,000338.SZ,2018/10/9,70340038.77,2018
123,4679,000338.SZ,2018/12/29,429571178.4,2018
126,1878,000415.SZ,2019/6/5,9979804.55,2019
133,1711,000423.SZ,2019/6/25,30227067.64,2019
137,262,000423.SZ,2019/10/10,197110596.3,2019
141,7014,000425.SZ,2016/4/30,5034800,2016
145,6997,000425.SZ,2016/6/14,253965200,2016
147,6135,000426.SZ,2018/8/30,66534500,2018
159,1644,000426.SZ,2019/7/2,199875800,2019
161,4735,000516.SZ,2018/12/25,17584455,2018
173,261,000516.SZ,2019/10/10,229403200.6,2019
175,4317,000538.SZ,2019/1/5,3539685,2019
185,101,000538.SZ,2019/11/2,241165054.1,2019
187,4605,000540.SZ,2019/1/3,10500778.63,2019
190,3969,000540.SZ,2019/2/2,10500778.63,2019
204,6376,000560.SZ,2018/7/16,1788268.2,2018
210,5218,000560.SZ,2018/11/30,198186655.2,2018
213,6854,000566.SZ,2017/11/8,168980302.9,2017
221,6646,000566.SZ,2018/4/11,509692709.2,2018
223,3101,000582.SZ,2019/3/29,1154234,2019
228,1386,000582.SZ,2019/7/4,149282235.6,2019
230,3677,000598.SZ,2019/2/19,8587782,2019
239,99,000598.SZ,2019/11/2,69556461.92,2019
241,5251,000615.SZ,2018/11/28,5535016.65,2018
256,173,000615.SZ,2019/10/29,108988912,2019
258,6596,000662.SZ,2018/5/5,1883075.52,2018
263,5945,000662.SZ,2018/9/15,84918.21,2018
265,5937,000667.SZ,2018/9/18,5026989,2018
277,1277,000667.SZ,2019/7/30,239951200,2019
