代码,公告,支付金额(元)
600567.SH,2019/11/4,"229,864,164.22"
300416.SZ,2019/11/4,"64,440,121.12"
002858.SZ,2019/11/4,"6,938,521.00"
002802.SZ,2019/11/4,"30,262,364.11"
603987.SH,2019/11/2,"42,000,381.06"
603816.SH,2019/11/2,"72,853,880.38"
603798.SH,2019/11/2,"11,991,310.09"
603779.SH,2019/11/2,"7,839,858.39"
603727.SH,2019/11/2,"100,020,209.93"
603716.SH,2019/11/2,"132,578,323.60"
603668.SH,2019/11/2,"4,998,643.00"
603636.SH,2019/11/2,"30,120,196.54"
603579.SH,2019/11/2,"100,606,911.51"
603507.SH,2019/11/2,
603303.SH,2019/11/2,"140,011,013.48"
603181.SH,2019/11/2,"36,416,111.16"
603129.SH,2019/11/2,"70,658,452.50"
603066.SH,2019/11/2,"20,496,994.95"
603056.SH,2019/11/2,"48,288,387.77"
603003.SH,2019/11/2,"100,005,575.44"
601877.SH,2019/11/2,
601579.SH,2019/11/2,"37,969,409.02"
601318.SH,2019/11/2,"5,000,000,171.09"
601208.SH,2019/11/2,"95,509,107.04"
600873.SH,2019/11/2,"99,902,700.00"
600843.SH,2019/11/2,"13,947,803.86"
600771.SH,2019/11/2,"33,319,097.65"
600738.SH,2019/11/2,"165,802,647.39"
600661.SH,2019/11/2,"300,511,692.62"
600636.SH,2019/11/2,
600603.SH,2019/11/2,"263,623,862.27"
600545.SH,2019/11/2,"108,931,206.02"
600530.SH,2019/11/2,
600522.SH,2019/11/2,"412,235,376.55"
600487.SH,2019/11/2,"305,852,585.77"
600469.SH,2019/11/2,"30,670,240.90"
600373.SH,2019/11/2,"298,669,750.74"
600372.SH,2019/11/2,"140,992,802.02"
600346.SH,2019/11/2,"1,240,709,429.95"
600261.SH,2019/11/2,"85,176,129.59"
600252.SH,2019/11/2,"87,312,534.48"
600222.SH,2019/11/2,"125,255,865.76"
600211.SH,2019/11/2,"85,005,429.97"
600208.SH,2019/11/2,"496,710,100.00"
600177.SH,2019/11/2,"1,211,107,228.08"
600160.SH,2019/11/2,"126,292,780.00"
600143.SH,2019/11/2,"727,480,397.10"
600114.SH,2019/11/2,"197,997,800.00"
600077.SH,2019/11/2,
600055.SH,2019/11/2,"43,204,200.00"
300378.SZ,2019/11/2,"30,005,979.36"
300270.SZ,2019/11/2,"1,460,175.00"
300114.SZ,2019/11/2,"35,593,406.42"
300041.SZ,2019/11/2,"150,015,883.56"
002879.SZ,2019/11/2,"111,447,704.76"
002873.SZ,2019/11/2,"3,503,775.32"
002864.SZ,2019/11/2,
002737.SZ,2019/11/2,
002737.SZ,2019/11/2,
002681.SZ,2019/11/2,"99,991,644.89"
002661.SZ,2019/11/2,"75,374,287.55"
002634.SZ,2019/11/2,"48,048,787.03"
002626.SZ,2019/11/2,"96,730,901.37"
002624.SZ,2019/11/2,"2,013,357.00"
002603.SZ,2019/11/2,"150,013,213.79"
002597.SZ,2019/11/2,"143,244,840.43"
002558.SZ,2019/11/2,
002557.SZ,2019/11/2,"29,998,016.10"
002555.SZ,2019/11/2,"301,961,944.30"
002537.SZ,2019/11/2,"197,949,632.06"
002520.SZ,2019/11/2,"109,951,188.24"
002439.SZ,2019/11/2,"99,981,018.68"
002422.SZ,2019/11/2,"85,459,333.23"
002408.SZ,2019/11/2,"169,984,959.90"
002404.SZ,2019/11/2,"39,995,403.90"
002390.SZ,2019/11/2,"287,744,229.22"
002369.SZ,2019/11/2,"75,252,122.95"
002361.SZ,2019/11/2,"85,798,474.49"
002339.SZ,2019/11/2,"32,870,623.67"
002279.SZ,2019/11/2,"42,394,514.83"
002273.SZ,2019/11/2,"883,976.76"
002242.SZ,2019/11/2,
002233.SZ,2019/11/2,"69,606,300.00"
002229.SZ,2019/11/2,
002215.SZ,2019/11/2,"100,951,631.10"
002194.SZ,2019/11/2,"39,197,729.18"
002145.SZ,2019/11/2,"271,607,715.16"
002138.SZ,2019/11/2,"139,834,290.06"
002132.SZ,2019/11/2,"117,922,595.09"
002085.SZ,2019/11/2,"299,515,728.13"
002084.SZ,2019/11/2,"118,723,796.44"
002073.SZ,2019/11/2,"142,880,797.41"
002032.SZ,2019/11/2,
002020.SZ,2019/11/2,"440,428,800.00"
000990.SZ,2019/11/2,"485,484,528.64"
000903.SZ,2019/11/2,"100,005,627.18"
000889.SZ,2019/11/2,"14,436,163.60"
000826.SZ,2019/11/2,"39,915,924.09"
000688.SZ,2019/11/2,"439,940,798.76"
000598.SZ,2019/11/2,"78,144,243.92"
000540.SZ,2019/11/2,"83,565,705.68"
000538.SZ,2019/11/2,"244,704,739.06"
000333.SZ,2019/11/2,"3,099,683,600.75"
000158.SZ,2019/11/2,"240,005,778.05"
000056.SZ,2019/11/2,"16,750,608.63"
603819.SH,2019/11/1,"45,002,085.46"
603365.SH,2019/11/1,"29,994,596.00"
603116.SH,2019/11/1,"150,972,081.70"
601989.SH,2019/11/1,"406,332,564.65"
600641.SH,2019/11/1,"303,137,761.27"
600433.SH,2019/11/1,"82,764,656.34"
600398.SH,2019/11/1,"132,109,127.10"
600200.SH,2019/11/1,"8,997,923.00"
600077.SH,2019/11/1,
300737.SZ,2019/11/1,"47,492,559.24"
300723.SZ,2019/11/1,"49,986,092.58"
300679.SZ,2019/11/1,
300617.SZ,2019/11/1,"50,498,174.11"
300497.SZ,2019/11/1,"100,002,352.10"
300469.SZ,2019/11/1,"14,997,799.42"
300326.SZ,2019/11/1,"86,959,460.42"
300279.SZ,2019/11/1,"29,993,739.40"
300234.SZ,2019/11/1,"89,134,119.57"
300232.SZ,2019/11/1,"40,000,842.04"
300231.SZ,2019/11/1,"170,241,173.58"
300199.SZ,2019/11/1,"285,299,947.83"
300168.SZ,2019/11/1,"29,984,265.25"
300138.SZ,2019/11/1,"10,611,611.54"
300087.SZ,2019/11/1,"118,420,136.33"
300074.SZ,2019/11/1,
300058.SZ,2019/11/1,"147,594,352.41"
300056.SZ,2019/11/1,"26,991,709.53"
300039.SZ,2019/11/1,"95,345,335.81"
300017.SZ,2019/11/1,"65,005,110.61"
300003.SZ,2019/11/1,"254,282,100.00"
002859.SZ,2019/11/1,"17,215,189.00"
002772.SZ,2019/11/1,"26,778,521.66"
002712.SZ,2019/11/1,"250,210,261.58"
002534.SZ,2019/11/1,"56,366,511.48"
002448.SZ,2019/11/1,"88,186,163.23"
002444.SZ,2019/11/1,"105,492,690.23"
002365.SZ,2019/11/1,"8,295,228.60"
002241.SZ,2019/11/1,
002179.SZ,2019/11/1,"11,776,930.10"
002168.SZ,2019/11/1,"147,613,580.50"
002156.SZ,2019/11/1,"49,900,111.60"
002013.SZ,2019/11/1,"129,323,395.18"
000998.SZ,2019/11/1,"300,021,834.86"
000960.SZ,2019/11/1,"191,821,211.70"
000926.SZ,2019/11/1,"47,303,359.60"
000902.SZ,2019/11/1,
000718.SZ,2019/11/1,"993,688,592.14"
300371.SZ,2019/10/31,"2,804,429.58"
300203.SZ,2019/10/31,"161,972,758.79"
002818.SZ,2019/10/31,"1,229,498.40"
002669.SZ,2019/10/31,"40,000,643.80"
002558.SZ,2019/10/31,"1,468,174,837.00"
002518.SZ,2019/10/31,
002171.SZ,2019/10/31,"6,575,770.00"
603158.SH,2019/10/30,"72,414,061.20"
603018.SH,2019/10/30,"32,164,731.34"
600749.SH,2019/10/30,"201,200.00"
002578.SZ,2019/10/30,"134,490,489.72"
002350.SZ,2019/10/30,"86,736,372.21"
002145.SZ,2019/10/30,"271,607,715.16"
603858.SH,2019/10/29,"933,998,879.11"
300459.SZ,2019/10/29,"150,487,254.79"
300371.SZ,2019/10/29,
300145.SZ,2019/10/29,"111,085,912.53"
002859.SZ,2019/10/29,"5,107,976.00"
002845.SZ,2019/10/29,"9,997,115.00"
002669.SZ,2019/10/29,"36,364,077.80"
002491.SZ,2019/10/29,"75,835,100.00"
000615.SZ,2019/10/29,"108,988,912.00"
300689.SZ,2019/10/28,"7,410,130.00"
002171.SZ,2019/10/28,
000672.SZ,2019/10/28,"174,010,797.50"
300087.SZ,2019/10/26,"79,831,858.57"
300054.SZ,2019/10/26,
603128.SH,2019/10/25,"126,672,922.34"
300224.SZ,2019/10/25,"112,284,613.29"
002073.SZ,2019/10/25,"72,536,992.41"
600478.SH,2019/10/24,"24,222,100.00"
002472.SZ,2019/10/23,
002408.SZ,2019/10/23,"142,216,078.66"
002044.SZ,2019/10/23,"300,010,033.08"
000415.SZ,2019/10/23,"59,907,456.11"
600185.SH,2019/10/22,"215,605,200.00"
002397.SZ,2019/10/18,"80,166,328.57"
002294.SZ,2019/10/18,
600963.SH,2019/10/17,"183,165,500.00"
601058.SH,2019/10/16,"574,681,046.30"
600999.SH,2019/10/16,
600232.SH,2019/10/16,"40,040,000.00"
000100.SZ,2019/10/16,"1,708,529,800.00"
000887.SZ,2019/10/14,"100,000,752.40"
603116.SH,2019/10/12,"148,823,891.70"
600603.SH,2019/10/12,"249,441,851.05"
600155.SH,2019/10/12,
600090.SH,2019/10/12,"991,900.00"
002699.SZ,2019/10/12,
002312.SZ,2019/10/12,
000100.SZ,2019/10/12,"1,688,880,000.00"
603066.SH,2019/10/11,"20,496,994.95"
601208.SH,2019/10/11,"87,951,320.04"
002558.SZ,2019/10/11,"1,465,916,955.38"
000926.SZ,2019/10/11,"3,699,885.00"
603869.SH,2019/10/10,"78,961,096.17"
603678.SH,2019/10/10,"4,998,342.65"
603668.SH,2019/10/10,"1,997,538.00"
603128.SH,2019/10/10,"126,672,922.34"
603056.SH,2019/10/10,"33,897,996.80"
603045.SH,2019/10/10,"4,998,985.56"
601126.SH,2019/10/10,"40,913,744.02"
601058.SH,2019/10/10,"459,985,875.80"
600873.SH,2019/10/10,"99,902,700.00"
600636.SH,2019/10/10,
600433.SH,2019/10/10,"57,830,319.34"
600373.SH,2019/10/10,"239,344,752.33"
600293.SH,2019/10/10,"9,993,556.17"
600260.SH,2019/10/10,"9,996,663.20"
600200.SH,2019/10/10,"3,998,584.00"
600098.SH,2019/10/10,"53,633,527.96"
600055.SH,2019/10/10,"34,584,000.00"
300611.SZ,2019/10/10,"5,470,820.00"
300459.SZ,2019/10/10,"111,688,938.58"
300308.SZ,2019/10/10,"72,660,803.43"
300234.SZ,2019/10/10,"89,134,119.57"
300199.SZ,2019/10/10,"280,899,862.83"
300179.SZ,2019/10/10,"15,280,544.37"
300151.SZ,2019/10/10,"1,124,700.00"
300145.SZ,2019/10/10,"111,085,912.53"
300123.SZ,2019/10/10,
300087.SZ,2019/10/10,"57,603,253.66"
300067.SZ,2019/10/10,"50,040,180.53"
002859.SZ,2019/10/10,
002845.SZ,2019/10/10,"9,997,115.00"
002831.SZ,2019/10/10,"6,934,262.60"
002818.SZ,2019/10/10,
002674.SZ,2019/10/10,
002626.SZ,2019/10/10,"37,522,390.77"
002534.SZ,2019/10/10,"22,776,627.24"
002531.SZ,2019/10/10,"19,974,984.80"
002520.SZ,2019/10/10,"109,951,188.24"
002439.SZ,2019/10/10,"99,981,018.68"
002413.SZ,2019/10/10,"160,007,645.06"
002390.SZ,2019/10/10,"287,744,229.22"
002388.SZ,2019/10/10,"9,999,922.31"
002339.SZ,2019/10/10,"32,870,623.67"
002242.SZ,2019/10/10,
002236.SZ,2019/10/10,"199,993,812.44"
002233.SZ,2019/10/10,"58,007,000.00"
002138.SZ,2019/10/10,"139,834,290.06"
002126.SZ,2019/10/10,"69,972,789.53"
002047.SZ,2019/10/10,
002032.SZ,2019/10/10,
000967.SZ,2019/10/10,"99,993,196.00"
000889.SZ,2019/10/10,"14,436,163.60"
000720.SZ,2019/10/10,"145,816,598.00"
000671.SZ,2019/10/10,"143,913,944.17"
000540.SZ,2019/10/10,"83,565,705.68"
000516.SZ,2019/10/10,"229,403,200.64"
000423.SZ,2019/10/10,"227,337,663.91"
000415.SZ,2019/10/10,"59,907,456.11"
000100.SZ,2019/10/10,"1,688,880,000.00"
603987.SH,2019/10/9,"42,000,381.06"
603901.SH,2019/10/9,"51,945,216.27"
603858.SH,2019/10/9,"933,998,879.11"
603839.SH,2019/10/9,"62,836,454.70"
603819.SH,2019/10/9,"45,002,085.46"
603816.SH,2019/10/9,"26,666,400.83"
603798.SH,2019/10/9,"11,991,310.09"
603788.SH,2019/10/9,"72,502,091.17"
603727.SH,2019/10/9,"100,020,209.93"
603716.SH,2019/10/9,"122,155,248.20"
603636.SH,2019/10/9,"30,120,196.54"
603611.SH,2019/10/9,"149,981,499.26"
603596.SH,2019/10/9,"45,438,000.00"
603579.SH,2019/10/9,"100,606,911.51"
603365.SH,2019/10/9,"20,863,019.00"
603322.SH,2019/10/9,"17,120,000.00"
603303.SH,2019/10/9,"140,011,013.48"
603181.SH,2019/10/9,"36,416,111.16"
603158.SH,2019/10/9,"72,414,061.20"
603157.SH,2019/10/9,
603129.SH,2019/10/9,"70,658,452.50"
603018.SH,2019/10/9,"29,680,825.94"
603003.SH,2019/10/9,"100,005,575.44"
601989.SH,2019/10/9,"397,108,764.65"
601666.SH,2019/10/9,"221,036,077.95"
601579.SH,2019/10/9,"17,853,062.20"
601318.SH,2019/10/9,"5,000,000,171.09"
601058.SH,2019/10/9,"381,925,364.22"
600998.SH,2019/10/9,"550,384,400.00"
600963.SH,2019/10/9,"141,717,300.00"
600843.SH,2019/10/9,"11,784,291.01"
600771.SH,2019/10/9,"30,986,606.91"
600738.SH,2019/10/9,"165,802,647.39"
600681.SH,2019/10/9,"163,582,398.00"
600673.SH,2019/10/9,"599,563,500.00"
600661.SH,2019/10/9,"300,511,692.62"
600641.SH,2019/10/9,"303,137,761.27"
600603.SH,2019/10/9,"220,823,317.60"
600567.SH,2019/10/9,"229,864,164.22"
600545.SH,2019/10/9,"55,908,797.11"
600530.SH,2019/10/9,
600522.SH,2019/10/9,"412,235,376.55"
600487.SH,2019/10/9,"305,852,585.77"
600478.SH,2019/10/9,"24,222,067.15"
600469.SH,2019/10/9,"30,670,240.90"
600400.SH,2019/10/9,"21,434,381.90"
600398.SH,2019/10/9,"64,804,422.71"
600372.SH,2019/10/9,"101,400,034.58"
600346.SH,2019/10/9,"1,240,709,429.95"
600261.SH,2019/10/9,"76,473,326.59"
600256.SH,2019/10/9,"89,993,054.82"
600252.SH,2019/10/9,"87,312,534.48"
600232.SH,2019/10/9,"40,040,000.00"
600222.SH,2019/10/9,"115,255,113.66"
600211.SH,2019/10/9,"85,005,429.97"
600208.SH,2019/10/9,"496,710,100.00"
600201.SH,2019/10/9,"20,001,788.32"
600197.SH,2019/10/9,"114,999,500.00"
600185.SH,2019/10/9,"193,946,600.00"
600177.SH,2019/10/9,"1,185,826,707.17"
600160.SH,2019/10/9,"106,227,459.00"
600143.SH,2019/10/9,"727,480,397.10"
600079.SH,2019/10/9,
600052.SH,2019/10/9,"3,510,886.09"
300732.SZ,2019/10/9,
300542.SZ,2019/10/9,
300416.SZ,2019/10/9,"64,440,121.12"
300401.SZ,2019/10/9,"100,001,821.18"
300396.SZ,2019/10/9,"25,094,447.40"
300378.SZ,2019/10/9,"30,005,979.36"
300360.SZ,2019/10/9,"120,214,058.67"
300326.SZ,2019/10/9,"86,959,460.42"
300315.SZ,2019/10/9,"104,563,070.85"
300298.SZ,2019/10/9,"39,968,406.01"
300279.SZ,2019/10/9,"29,993,739.40"
300270.SZ,2019/10/9,"1,460,175.00"
300237.SZ,2019/10/9,"42,979,300.00"
300231.SZ,2019/10/9,"170,241,173.58"
300214.SZ,2019/10/9,"25,750,036.00"
300203.SZ,2019/10/9,"161,972,758.79"
300114.SZ,2019/10/9,"35,593,406.42"
300074.SZ,2019/10/9,
300056.SZ,2019/10/9,"24,056,710.03"
300053.SZ,2019/10/9,"30,367,170.80"
300041.SZ,2019/10/9,"150,015,883.56"
300017.SZ,2019/10/9,"65,005,110.61"
002906.SZ,2019/10/9,"33,435,430.38"
002900.SZ,2019/10/9,"82,865,742.02"
002879.SZ,2019/10/9,"105,028,208.56"
002873.SZ,2019/10/9,
002873.SZ,2019/10/9,"1,050,313.26"
002864.SZ,2019/10/9,
002858.SZ,2019/10/9,"4,999,073.00"
002852.SZ,2019/10/9,"97,402,897.56"
002802.SZ,2019/10/9,"27,263,552.11"
002772.SZ,2019/10/9,"19,782,875.00"
002712.SZ,2019/10/9,"250,210,261.58"
002681.SZ,2019/10/9,"99,991,644.89"
002675.SZ,2019/10/9,
002669.SZ,2019/10/9,"16,032,466.80"
002665.SZ,2019/10/9,"41,599,885.26"
002661.SZ,2019/10/9,"57,709,076.53"
002658.SZ,2019/10/9,"80,878,331.43"
002653.SZ,2019/10/9,
002634.SZ,2019/10/9,"48,048,787.03"
002626.SZ,2019/10/9,"37,522,390.77"
002624.SZ,2019/10/9,"2,013,357.00"
002610.SZ,2019/10/9,
002603.SZ,2019/10/9,"150,013,213.79"
002602.SZ,2019/10/9,"1,581,175,973.65"
002597.SZ,2019/10/9,"143,244,840.43"
002589.SZ,2019/10/9,"60,399,950.80"
002587.SZ,2019/10/9,"31,918,883.05"
002582.SZ,2019/10/9,"116,168,069.20"
002570.SZ,2019/10/9,"37,007,138.00"
002568.SZ,2019/10/9,"12,913,220.50"
002557.SZ,2019/10/9,"29,998,016.10"
002555.SZ,2019/10/9,"301,961,944.30"
002537.SZ,2019/10/9,"197,949,632.06"
002519.SZ,2019/10/9,"37,620,876.33"
002515.SZ,2019/10/9,"171,409,894.81"
002491.SZ,2019/10/9,"53,373,855.76"
002488.SZ,2019/10/9,"4,641,037.04"
002485.SZ,2019/10/9,
002479.SZ,2019/10/9,"31,543,229.50"
002422.SZ,2019/10/9,"85,459,333.23"
002397.SZ,2019/10/9,"77,558,165.57"
